name,name_eng,rank,total_score,school_level,type,note,location,link,logo
清华大学,Tsinghua University,1,969.2,37.9,综合,一流大学A类/985/211,北京,"https://www.tsinghua.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/27532357.png
北京大学,Peking University,2,855.3,36.1,综合,一流大学A类/985/211,北京,"https://www.pku.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/86350223.png
浙江大学,Zhejiang University,3,768.7,34.3,综合,一流大学A类/985/211,浙江,"https://www.zju.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/88311656.png
上海交通大学,Shanghai Jiao Tong University,4,723.4,35.5,综合,一流大学A类/985/211,上海,"https://www.sjtu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/27403919.png
南京大学,Nanjing University,5,654.8,35.1,综合,一流大学A类/985/211,江苏,"https://www.nju.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/44696062.png
复旦大学,Fudan University,6,649.7,36.6,综合,一流大学A类/985/211,上海,"https://www.fudan.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/28312850.png
中国科学技术大学,University of Science and Technology of China,7,577.0,40.0,理工,一流大学A类/985/211,安徽,"https://www.ustc.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/50132214.png
华中科技大学,Huazhong University of Science and Technology,8,574.3,32.1,综合,一流大学A类/985/211,湖北,"https://www.hust.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/69664504.png
武汉大学,Wuhan University,9,567.9,31.8,综合,一流大学A类/985/211,湖北,"https://www.whu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/46182017.png
西安交通大学,Xi'an Jiaotong University,10,537.9,34.5,综合,一流大学A类/985/211,陕西,"http://www.xjtu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/77584005.png
哈尔滨工业大学,Harbin Institute of Technology,11,522.6,32.7,理工,一流大学A类/985/211,黑龙江,"https://www.hit.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/88331082.png
中山大学,Sun Yat-Sen University,12,519.3,30.9,综合,一流大学A类/985/211,广东,"http://www.sysu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/46293852.png
北京师范大学,Beijing Normal University,13,518.3,34.8,师范,一流大学A类/985/211,北京,"https://www.bnu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/38816505.png
四川大学,Sichuan University,14,516.6,30.7,综合,一流大学A类/985/211,四川,"https://www.scu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/75651370.png
