校名,英文名,2021软科排名,备注,类型,地点,2021软科总分,2021软科办学层次,logo下载url
清华大学,Tsinghua University,1,一流大学A类/985/211,综合,北京,969.2,37.9,https://www.shanghairanking.cn/_uni/logo/27532357.png
北京大学,Peking University,2,一流大学A类/985/211,综合,北京,855.3,36.1,https://www.shanghairanking.cn/_uni/logo/86350223.png
浙江大学,Zhejiang University,3,一流大学A类/985/211,综合,浙江,768.7,34.3,https://www.shanghairanking.cn/_uni/logo/88311656.png
上海交通大学,Shanghai Jiao Tong University,4,一流大学A类/985/211,综合,上海,723.4,35.5,https://www.shanghairanking.cn/_uni/logo/27403919.png
南京大学,Nanjing University,5,一流大学A类/985/211,综合,江苏,654.8,35.1,https://www.shanghairanking.cn/_uni/logo/44696062.png
复旦大学,Fudan University,6,一流大学A类/985/211,综合,上海,649.7,36.6,https://www.shanghairanking.cn/_uni/logo/28312850.png
中国科学技术大学,University of Science and Technology of China,7,一流大学A类/985/211,理工,安徽,577.0,40.0,https://www.shanghairanking.cn/_uni/logo/50132214.png
华中科技大学,Huazhong University of Science and Technology,8,一流大学A类/985/211,综合,湖北,574.3,32.1,https://www.shanghairanking.cn/_uni/logo/69664504.png
武汉大学,Wuhan University,9,一流大学A类/985/211,综合,湖北,567.9,31.8,https://www.shanghairanking.cn/_uni/logo/46182017.png
西安交通大学,Xi'an Jiaotong University,10,一流大学A类/985/211,综合,陕西,537.9,34.5,https://www.shanghairanking.cn/_uni/logo/77584005.png
哈尔滨工业大学,Harbin Institute of Technology,11,一流大学A类/985/211,理工,黑龙江,522.6,32.7,https://www.shanghairanking.cn/_uni/logo/88331082.png
中山大学,Sun Yat-Sen University,12,一流大学A类/985/211,综合,广东,519.3,30.9,https://www.shanghairanking.cn/_uni/logo/46293852.png
北京师范大学,Beijing Normal University,13,一流大学A类/985/211,师范,北京,518.3,34.8,https://www.shanghairanking.cn/_uni/logo/38816505.png
四川大学,Sichuan University,14,一流大学A类/985/211,综合,四川,516.6,30.7,https://www.shanghairanking.cn/_uni/logo/75651370.png
北京航空航天大学,Beihang University,15,一流大学A类/985/211,理工,北京,513.8,32.8,https://www.shanghairanking.cn/_uni/logo/22403670.png
同济大学,Tongji University,16,一流大学A类/985/211,理工,上海,508.3,33.2,https://www.shanghairanking.cn/_uni/logo/39174907.png
东南大学,Southeast University,17,一流大学A类/985/211,综合,江苏,488.1,34.3,https://www.shanghairanking.cn/_uni/logo/82819451.png
中国人民大学,Renmin University of China,18,一流大学A类/985/211,综合,北京,487.8,34.5,https://www.shanghairanking.cn/_uni/logo/88617939.png
北京理工大学,Beijing Institute of Technology,19,一流大学A类/985/211,理工,北京,474.0,32.3,https://www.shanghairanking.cn/_uni/logo/85386135.png
南开大学,Nankai University,20,一流大学A类/985/211,综合,天津,465.3,31.5,https://www.shanghairanking.cn/_uni/logo/44629152.png
山东大学,Shandong University,21,一流大学A类/985/211,综合,山东,447.0,28.8,https://www.shanghairanking.cn/_uni/logo/97189370.png
天津大学,Tianjin University,22,一流大学A类/985/211,理工,天津,444.3,32.7,https://www.shanghairanking.cn/_uni/logo/74813674.png
中南大学,Central South University,23,一流大学A类/985/211,综合,湖南,442.2,30.8,https://www.shanghairanking.cn/_uni/logo/65984093.png
吉林大学,Jilin University,24,一流大学A类/985/211,综合,吉林,435.7,30.4,https://www.shanghairanking.cn/_uni/logo/76557044.png
西北工业大学,Northwestern Polytechnical University,25,一流大学A类/985/211,理工,陕西,430.5,32.4,https://www.shanghairanking.cn/_uni/logo/20384817.png
厦门大学,Xiamen University,26,一流大学A类/985/211,综合,福建,427.8,32.7,https://www.shanghairanking.cn/_uni/logo/14008229.png
华南理工大学,South China University of Technology,27,一流大学A类/985/211,理工,广东,419.8,30.5,https://www.shanghairanking.cn/_uni/logo/69348939.png
大连理工大学,Dalian University of Technology,28,一流大学A类/985/211,理工,辽宁,418.2,30.2,https://www.shanghairanking.cn/_uni/logo/54289554.png
华东师范大学,East China Normal University,29,一流大学A类/985/211,师范,上海,401.8,35.2,https://www.shanghairanking.cn/_uni/logo/47430452.png
中国农业大学,China Agricultural University,30,一流大学A类/985/211,农业,北京,400.4,31.8,https://www.shanghairanking.cn/_uni/logo/48410070.png
电子科技大学,University of Electronic Science and Technology of China,31,一流大学A类/985/211,理工,四川,398.8,32.4,https://www.shanghairanking.cn/_uni/logo/55538407.png
湖南大学,Hunan University,32,一流大学B类/985/211,综合,湖南,393.5,31.4,https://www.shanghairanking.cn/_uni/logo/79015808.png
北京科技大学,University of Science and Technology Beijing,33,一流学科/211,理工,北京,379.4,32.2,https://www.shanghairanking.cn/_uni/logo/96310183.png
重庆大学,Chongqing University,34,一流大学A类/985/211,综合,重庆,365.5,29.9,https://www.shanghairanking.cn/_uni/logo/79822387.png
南京航空航天大学,Nanjing University of Aeronautics and Astronautics,35,一流学科/211,理工,江苏,358.6,28.6,https://www.shanghairanking.cn/_uni/logo-jpg/4506696400.jpg
东北大学,Northeastern University,36,一流大学B类/985/211,理工,辽宁,356.1,32.2,https://www.shanghairanking.cn/_uni/logo/79513869.png
南京理工大学,Nanjing University of Science and Technology,37,一流学科/211,理工,江苏,356.0,30.9,https://www.shanghairanking.cn/_uni/logo/38974419.png
西安电子科技大学,Xidian University,38,一流学科/211,理工,陕西,355.1,30.2,https://www.shanghairanking.cn/_uni/logo/88267454.png
兰州大学,Lanzhou University,39,一流大学A类/985/211,综合,甘肃,353.4,30.6,https://www.shanghairanking.cn/_uni/logo/84317715.png
北京交通大学,Beijing jiaotong University,40,一流学科/211,理工,北京,349.9,32.0,https://www.shanghairanking.cn/_uni/logo/60987143.png
南方科技大学,Southern University of Science and Technology,41,,综合,广东,345.8,28.9,https://www.shanghairanking.cn/_uni/logo/22950445.png
华中农业大学,Huazhong Agricultural University,42,一流学科/211,农业,湖北,338.5,28.5,https://www.shanghairanking.cn/_uni/logo/20950268.png
上海大学,Shanghai University,43,一流学科/211,综合,上海,333.0,31.7,https://www.shanghairanking.cn/_uni/logo/94139385.png
苏州大学,Soochow University (China),44,一流学科/211,综合,江苏,327.0,28.7,https://www.shanghairanking.cn/_uni/logo/44374737.png
华东理工大学,East China University of Science and Technology,45,一流学科/211,理工,上海,324.5,29.7,https://www.shanghairanking.cn/_uni/logo/93042584.png
华中师范大学,Central China Normal University,46,一流学科/211,师范,湖北,322.0,30.6,https://www.shanghairanking.cn/_uni/logo/58510682.png
南京师范大学,Nanjing Normal University,47,一流学科/211,师范,江苏,321.3,29.5,https://www.shanghairanking.cn/_uni/logo/27072054.png
中国地质大学（武汉）,China University of Geosciences (Wuhan),48,一流学科/211,理工,湖北,320.2,29.9,https://www.shanghairanking.cn/_uni/logo/25952542.png
东北师范大学,Northeast Normal University,49,一流学科/211,师范,吉林,319.7,33.1,https://www.shanghairanking.cn/_uni/logo/12611652.png
哈尔滨工程大学,Harbin Engineering University,50,一流学科/211,理工,黑龙江,319.0,29.3,https://www.shanghairanking.cn/_uni/logo/86980791.png
西南交通大学,Southwest Jiaotong University,51,一流学科/211,理工,四川,318.0,28.7,https://www.shanghairanking.cn/_uni/logo/29218271.png
南京农业大学,Nanjing Agricultural University,52,一流学科/211,农业,江苏,316.1,29.2,https://www.shanghairanking.cn/_uni/logo/43891811.png
郑州大学,Zhengzhou University,53,一流大学B类/211,综合,河南,312.8,26.3,https://www.shanghairanking.cn/_uni/logo/68963418.png
北京邮电大学,Beijing University of Posts and Telecommunications,54,一流学科/211,理工,北京,312.5,30.8,https://www.shanghairanking.cn/_uni/logo/15344334.png
武汉理工大学,Wuhan University of Technology,55,一流学科/211,理工,湖北,312.2,28.0,https://www.shanghairanking.cn/_uni/logo/16563358.png
中国海洋大学,Ocean University of China,56,一流大学A类/985/211,综合,山东,311.0,30.3,https://www.shanghairanking.cn/_uni/logo/53553512.png
暨南大学,Jinan University,57,一流学科/211,综合,广东,307.4,29.1,https://www.shanghairanking.cn/_uni/logo/78175531.png
中国石油大学（北京）,China University of Petroleum - Beijing,58,一流学科/211,理工,北京,307.3,32.5,https://www.shanghairanking.cn/_uni/logo-jpg/6662428200.jpg
北京工业大学,Beijing University of Technology,59,一流学科/211,理工,北京,306.0,30.0,https://www.shanghairanking.cn/_uni/logo/10211810.png
河海大学,Hohai University,60,一流学科/211,理工,江苏,303.4,31.3,https://www.shanghairanking.cn/_uni/logo/76817036.png
中国矿业大学,China University of Mining and Technology - Xuzhou,61,一流学科/211,理工,江苏,301.6,28.3,https://www.shanghairanking.cn/_uni/logo/15914272.png
北京化工大学,Beijing University of Chemical Technology,62,一流学科/211,理工,北京,296.7,28.2,https://www.shanghairanking.cn/_uni/logo/46052210.png
中国地质大学（北京）,China University of Geosciences (Beijing),63,一流学科/211,理工,北京,295.5,32.7,https://www.shanghairanking.cn/_uni/logo/21004246.png
西北大学,Northwest University,64,一流学科/211,综合,陕西,293.0,25.6,https://www.shanghairanking.cn/_uni/logo/15797720.png
江南大学,Jiangnan University,65,一流学科/211,综合,江苏,292.9,27.4,https://www.shanghairanking.cn/_uni/logo/92884896.png
上海科技大学,ShanghaiTech University,66,,综合,上海,288.7,33.4,https://www.shanghairanking.cn/_uni/logo/46886554.png
中国石油大学（华东）,China University of Petroleum (Huadong),67,一流学科/211,理工,山东,287.4,27.6,https://www.shanghairanking.cn/_uni/logo/92620812.png
西南大学,Southwest University,68,一流学科/211,综合,重庆,286.5,26.4,https://www.shanghairanking.cn/_uni/logo/68012227.png
中国矿业大学（北京）,China University of Mining and Technology - Beijing,69,一流学科/211,理工,北京,285.5,31.2,https://www.shanghairanking.cn/_uni/logo/61910568.png
深圳大学,Shenzhen University,70,,综合,广东,280.4,25.5,https://www.shanghairanking.cn/_uni/logo/88823168.png
陕西师范大学,Shaanxi Normal University,71,一流学科/211,师范,陕西,280.1,33.2,https://www.shanghairanking.cn/_uni/logo/22611416.png
江苏大学,Jiangsu University,72,,综合,江苏,276.9,26.5,https://www.shanghairanking.cn/_uni/logo/28154997.png
浙江工业大学,Zhejiang University of Technology,73,,理工,浙江,275.6,27.6,https://www.shanghairanking.cn/_uni/logo/19897860.png
北京林业大学,Beijing Forestry University,74,一流学科/211,林业,北京,275.0,28.5,https://www.shanghairanking.cn/_uni/logo/43861010.png
华南师范大学,South China Normal University,75,一流学科/211,师范,广东,274.7,27.4,https://www.shanghairanking.cn/_uni/logo/47317168.png
西北农林科技大学,Northwest A&amp;F University,76,一流大学B类/985/211,农业,陕西,273.7,27.9,https://www.shanghairanking.cn/_uni/logo/25536937.png
扬州大学,Yangzhou University,77,,综合,江苏,269.5,25.9,https://www.shanghairanking.cn/_uni/logo/61656418.png
南昌大学,Nanchang University,78,一流学科/211,综合,江西,268.9,27.3,https://www.shanghairanking.cn/_uni/logo/25119833.png
福州大学,Fuzhou University,79,一流学科/211,理工,福建,267.7,28.6,https://www.shanghairanking.cn/_uni/logo/77372849.png
华北电力大学,North China Electric Power University,80,一流学科/211,理工,北京,263.2,27.1,https://www.shanghairanking.cn/_uni/logo/13312897.png
东华大学,Donghua University,81,一流学科/211,理工,上海,262.8,28.9,https://www.shanghairanking.cn/_uni/logo/41255312.png
合肥工业大学,Hefei University of Technology,82,一流学科/211,理工,安徽,262.7,26.2,https://www.shanghairanking.cn/_uni/logo/55155531.png
云南大学,Yunnan University,83,一流大学B类/211,综合,云南,262.1,29.5,https://www.shanghairanking.cn/_uni/logo/31586909.png
宁波大学,Ningbo University,84,一流学科,综合,浙江,261.4,27.7,https://www.shanghairanking.cn/_uni/logo/83052172.png
首都师范大学,Capital Normal University,85,一流学科,师范,北京,261.1,29.9,https://www.shanghairanking.cn/_uni/logo/66860048.png
湖南师范大学,Hunan Normal University,86,一流学科/211,师范,湖南,259.6,27.9,https://www.shanghairanking.cn/_uni/logo/60718001.png
南京工业大学,Nanjing Tech University,87,,理工,江苏,259.5,25.7,https://www.shanghairanking.cn/_uni/logo/18208126.png
长安大学,Chang'an University,88,一流学科/211,理工,陕西,250.2,28.1,https://www.shanghairanking.cn/_uni/logo/22876250.png
福建师范大学,Fujian Normal University,89,,师范,福建,248.2,27.0,https://www.shanghairanking.cn/_uni/logo/63841113.png
安徽大学,Anhui University,90,一流学科/211,综合,安徽,243.1,26.0,https://www.shanghairanking.cn/_uni/logo/13378567.png
南京信息工程大学,Nanjing University of Information Science &amp; Technology,91,一流学科,理工,江苏,240.9,23.5,https://www.shanghairanking.cn/_uni/logo/59759082.png
上海理工大学,University of Shanghai for Science and Technology,92,,理工,上海,240.7,28.7,https://www.shanghairanking.cn/_uni/logo/13304999.png
